ilan_no,room,salon,brut_m2,net_m2,floor_location,building_age,building_floor,compliance_with_loan,bathroom_amount,building_type,fuel_type,price,il,ilce,mahalle,home_link
129254-281,2,1,80,70,Yüksek Giriş,14,2,True,1,Betonarme,Elektrik,1675000,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/balikesir-edremit-altinkum-satilik/daire/129254-281

129254-281,2,1,80,70,Yüksek Giriş,14,2,True,1,Betonarme,Elektrik,,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/43837-3657

43837-3643,2,1,125,120,3,0,6,True,2,Betonarme,Doğalgaz,1250000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/43837-3643

43837-3643,2,1,125,120,3,0,6,True,2,Betonarme,Doğalgaz,,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/43837-3642

43837-3643,2,1,125,120,3,0,6,True,2,Betonarme,Doğalgaz,,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/43837-3278

136244-5,2,1,82,72,1,5,5,True,1,Betonarme,Doğalgaz,1450000,Kocaeli,Gebze,Gaziler,https://www.hepsiemlak.com//en/kocaeli-gebze-gaziler-satilik/daire/136244-5

135301-2,2,1,115,100,4,2,4,True,1,Betonarme,Doğalgaz,2750000,Antalya,Muratpaşa,Kızılarık,https://www.hepsiemlak.com//en/antalya-muratpasa-kizilarik-satilik/daire/135301-2

121517-416,2,1,105,100,2,0,5,True,1,Betonarme,Doğalgaz,1429000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/121517-416

101590-65,5,1,350,230,Ara Kat,6,3,True,3,Betonarme,Doğalgaz,70000000,İstanbul,Kadıköy,Fenerbahçe,https://www.hepsiemlak.com//en/istanbul-kadikoy-fenerbahce-satilik/daire/101590-65

101590-64,4,1,520,360,Giriş Katı,10,3,True,4,Betonarme,Doğalgaz,64500000,İstanbul,Kadıköy,Fenerbahçe,https://www.hepsiemlak.com//en/istanbul-kadikoy-fenerbahce-satilik/daire/101590-64

136227-3,3,1,210,155,7,6,14,True,2,Betonarme,Doğalgaz,10200000,İstanbul,Sarıyer,Maslak,https://www.hepsiemlak.com//en/istanbul-sariyer-maslak-satilik/daire/136227-3

22893-4464,3,1,135,125,4,11,8,True,1,Betonarme,Doğalgaz,4250000,Antalya,Muratpaşa,Çağlayan,https://www.hepsiemlak.com//en/antalya-muratpasa-caglayan-satilik/daire/22893-4464

22893-4487,1,1,60,55,Giriş Katı,1,4,True,1,Betonarme,Doğalgaz,2500000,Antalya,Aksu,Altıntaş,https://www.hepsiemlak.com//en/antalya-aksu-altintas-satilik/daire/22893-4487

22893-4487,1,1,60,55,Giriş Katı,1,4,True,1,Betonarme,Doğalgaz,,Antalya,Aksu,Altıntaş,https://www.hepsiemlak.com//en/antalya-muratpasa-caglayan-satilik/daire/22893-4457

132267-168,2,1,95,80,Bahçe Katı,4,6,True,1,Betonarme,Doğalgaz,910000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/132267-168

29818-345,4,1,280,260,1,45,7,True,2,Betonarme,Doğalgaz,18000000,İstanbul,Şişli,Harbiye,https://www.hepsiemlak.com//en/istanbul-sisli-harbiye-satilik/daire/29818-345

29818-345,4,1,280,260,1,45,7,True,2,Betonarme,Doğalgaz,,İstanbul,Şişli,Harbiye,https://www.hepsiemlak.com//en/antalya-konyaalti-siteler-satilik/daire/136174-14

29818-345,4,1,280,260,1,45,7,True,2,Betonarme,Doğalgaz,,İstanbul,Şişli,Harbiye,https://www.hepsiemlak.com//en/antalya-muratpasa-caglayan-satilik/daire/136174-8

29818-345,4,1,280,260,1,45,7,True,2,Betonarme,Doğalgaz,,İstanbul,Şişli,Harbiye,https://www.hepsiemlak.com//en/istanbul-bahcelievler-bahcelievler-satilik/daire/33600-49695

33600-49709,3,1,200,180,3,35,7,True,1,Betonarme,Doğalgaz,18700000,İstanbul,Beşiktaş,Akat,https://www.hepsiemlak.com//en/istanbul-besiktas-akat-satilik/daire/33600-49709

5625-2790,2,0,60,55,1,8,5,True,1,Betonarme,Doğalgaz,950000,Aydın,Efeler,Zafer,https://www.hepsiemlak.com//en/aydin-efeler-zafer-satilik/daire/5625-2790

111753-826,2,1,115,105,Bahçe Katı,0,5,True,1,Betonarme,Doğalgaz,699900,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/111753-826

111753-826,2,1,115,105,Bahçe Katı,0,5,True,1,Betonarme,Doğalgaz,,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-kadikoy-feneryolu-satilik/daire/5632-7598

90940-2628,2,1,110,100,3,0,4,True,1,Betonarme,Kömür-Odun,1750000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/90940-2628

132267-4,2,1,100,95,3,9,6,True,1,Betonarme,Kömür-Odun,949000,İstanbul,Beylikdüzü,Cumhuriyet,https://www.hepsiemlak.com//en/istanbul-beylikduzu-cumhuriyet-satilik/daire/132267-4

